10000 VSyncFunc
10064 main
10274 QuickControlPhase
102E0 LoadGameflow
10604 DoTitle
10ABC DoLevel
10F5C DoGameflow
115EC InitFont
11764 GetLaraCollisionInfo
117B0 LaraFloorFront
1189C LaraCeilingFront
11998 TestLaraSlide
11B6C LaraFallen
11BD8 LaraLandedBad
11C94 LaraHitCeiling
11D18 LaraDeflectEdge
11DC0 LaraDeflectEdgeDuck
11E60 LaraTestEdgeCatch
11F78 LaraTestClimbStance
120C0 TestLaraVault
12550 TestWall
126F0 LaraCollideStop
127BC lara_slide_slope
12904 LaraDeflectEdgeJump
12B18 LaraSlideEdgeJump
12C54 LaraTestHangOnClimbWall
12E54 SnapLaraToEdgeOfBlock
12F34 LaraHangTest
135BC IsValidHangPos
13738 LaraHangRightCornerTest
13C24 LaraHangLeftCornerTest
14104 TestHangSwingIn
14228 LaraAboveWater
1448C lara_as_duckl
144E0 lara_as_duckr
14534 lara_col_ducklr
14688 lara_as_duck
147C4 lara_col_duck
14970 lara_as_all4s
14B40 lara_col_all4s
150F4 lara_as_crawl
1523C lara_col_crawl
15390 lara_as_all4turnl
153FC lara_col_all4turnlr
15484 lara_as_all4turnr
154F0 lara_as_crawlb
15614 lara_col_crawlb
15770 lara_col_crawl2hang
15A28 lara_as_dash
15C50 lara_col_dash
15E1C lara_as_dashdive
15E5C lara_col_dashdive
16004 MonkeySwingFall
1605C MonkeySwingSnap
160B4 GetDirOctant
160CC TestMonkeyLeft
161EC TestMonkeyRight
1630C lara_as_hang2
163DC lara_col_hang2
1670C lara_as_monkeyswing
16828 lara_col_monkeyswing
16A0C lara_as_monkeyl
16A80 lara_col_monkeyl
16B24 lara_as_monkeyr
16B9C lara_col_monkeyr
16C40 lara_as_hangturnl
16C94 lara_col_hangturnlr
16D64 lara_as_hangturnr
16DB8 lara_as_monkey180
16DDC lara_col_monkey180
16DFC lara_col_polestat
17020 lara_as_poleleft
1707C lara_as_poleright
170D8 lara_col_poleup
171A0 lara_col_poledown
17394 FallFromRope
17424 JumpOffRope
17508 UpdateRopeSwing
178E4 ApplyVelocityToRope
17958 lara_as_rope
179A8 lara_col_rope
17AB4 lara_as_ropel
17B14 lara_as_roper
17B74 lara_col_ropefwd
17D9C lara_as_climbrope
17E64 lara_as_climbroped
17E94 lara_as_stop
18444 lara_col_stop
1851C lara_as_upjump
1853C lara_col_upjump
18A34 lara_as_forwardjump
18B88 lara_col_forwardjump
18CE0 lara_as_reach
18D0C lara_col_reach
191B8 lara_as_walk
192EC lara_as_run
1959C lara_as_fastback
19628 lara_as_turn_r
1972C lara_as_turn_l
19830 lara_as_death
198BC lara_as_fastfall
19928 lara_void_func
19930 CanLaraHangSideways
19A28 lara_as_hang
19AC8 lara_col_hang
19F48 lara_as_hangleft
19F94 lara_col_hangleft
19FEC lara_as_hangright
1A038 lara_col_hangright
1A090 SetCornerAnim
1A1F0 lara_as_extcornerl
1A244 lara_as_extcornerr
1A298 lara_as_intcornerl
1A2EC lara_as_intcornerr
1A340 lara_as_splat
1A35C lara_as_compress
1A4F0 lara_as_back
1A5DC lara_as_null
1A5F8 lara_as_fastturn
1A65C lara_col_fastturn
1A67C lara_as_stepright
1A750 lara_as_stepleft
1A824 lara_as_slide
1A854 lara_as_backjump
1A8C4 lara_as_rightjump
1A92C lara_as_leftjump
1A994 lara_as_fallback
1A9E0 lara_as_slideback
1AA04 lara_as_pushblock
1AA60 lara_as_pullblock
1AABC lara_as_ppready
1AB00 lara_as_pickup
1AB5C lara_as_pickupflare
1ABEC lara_as_switchon
1AC54 lara_as_switchoff
1ACBC lara_as_usekey
1AD18 lara_as_usepuzzle
1ADDC lara_as_special
1AE08 lara_as_swandive
1AE4C lara_as_fastdive
1AEC8 lara_as_gymnast
1AEE4 lara_as_waterout
1AF10 lara_as_wade
1B038 lara_as_deathslide
1B0FC lara_as_controlled
1B180 lara_as_controlledl
1B1B4 lara_col_turnswitch
1B288 lara_as_pulley
1B3E8 lara_col_walk
1B64C lara_col_run
1B87C lara_col_pose
1B89C lara_col_fastback
1B9C4 lara_col_turn_r
1BABC lara_col_turn_l
1BADC lara_col_death
1BB88 lara_col_fastfall
1BC74 lara_col_splat
1BD10 lara_col_land
1BD30 lara_col_compress
1BE38 lara_col_back
1BFB0 lara_col_stepright
1C0E8 lara_col_stepleft
1C108 lara_col_slide
1C130 lara_col_backjump
1C15C lara_col_rightjump
1C188 lara_col_leftjump
1C1B4 lara_col_fallback
1C284 lara_col_slideback
1C2B0 lara_col_roll
1C384 lara_col_roll2
1C4A0 lara_col_swandive
1C558 lara_col_fastdive
1C61C lara_col_wade
1C80C lara_default_col
1C860 lara_col_jumper
1C920 ResetLook
1C9D8 LookUpDown
1CB80 LookLeftRight
1CD28 GetTighRopeFallOff
1CDE8 lara_as_trpose
1CEDC lara_as_trwalk
1D03C lara_as_trfall
1D220 lara_as_parallelbars
1D244 lara_as_pbleapoff
1D420 KillMoveItems
1D4AC KillMoveEffects
1D538 ControlPhase
1E3E4 AlterFloorHeight
1E534 GetWaterHeight
1E7FC RefreshCamera
1E9B4 TestTriggers
1E9FC _TestTriggers
1F7D4 FlipMap
1F938 RemoveRoomFlipItems
1FA0C AddRoomFlipItems
1FAD4 TriggerCDTrack
1FB14 TriggerNormalCDTrack
1FBC0 FireCrossBowFromLaserSight
1FC5C GetTargetOnLOS
207DC ExplodeItemNode
209AC CheckGuardOnTrigger
20AF0 InterpolateAngle
20B48 ResetGuards
20D90 InitCutPlayed
20DA0 SetCutPlayed
20DEC SetCutNotPlayed
20E34 CheckCutPlayed
20E6C NeatAndTidyTriggerCutscene
215D0 is_object_in_room
21634 check_xray_machine_trigger
216AC StalkBox
21800 InitialiseCreature
218B0 CreatureActive
2194C CreatureAIInfo
21DDC SearchLOT
22034 UpdateLOT
220F4 TargetBox
221C4 EscapeBox
222A4 ValidBox
22398 GetCreatureMood
226E4 CreatureMood
22B0C CalculateTarget
2304C CreatureCreature
231CC BadFloor
232D4 CreatureDie
23448 CreatureAnimation
24130 CreatureTurn
24418 CreatureTilt
24484 CreatureJoint
24524 CreatureFloat
2468C CreatureUnderwater
24760 CreatureEffect
247D4 CreatureEffectT
24864 CreatureVault
24A94 CreatureKill
24C7C AlertAllGuards
24D20 AlertNearbyGuards
24DF0 AIGuard
24ED8 GetAITarget
25380 FindAITargetObject
255F8 SameZone
25738 CreatureYRot
2579C MoveCreature3DPos
259BC DropBaddyPickups
25AAC InitialiseCamera
25B68 MoveCamera
263B4 ChaseCamera
26838 CombatCamera
26D9C LookCamera
278E4 FixedCamera
27DA0 CalculateCamera
28634 CameraCollisionBounds
28B5C mgLOS
28D4C BinocularCamera
2960C LaraTorch
2973C ConfirmCameraTargetPos
29890 UpdateCameraElevation
29954 ScreenShake
29A44 LaraBaddieCollision
29E10 CreatureCollision
2A03C AIPickupCollision
2A098 TrapCollision
2A140 TestBoundsCollideStatic
2A2D8 ItemPushLaraStatic
2A5EC GenericSphereBoxCollision
2A838 TriggerLaraBlood
2A940 TestForObjectOnLedge
2AA88 ShutThatDoor
2AB8C OpenThatDoor
2AD74 DoorControl
2B150 DoorCollision
2B508 PushPullKickDoorControl
2B5A0 PushPullKickDoorCollision
2B854 DoubleDoorCollision
2BA38 UnderwaterDoorCollision
2BC28 SequenceDoorControl
2BDE8 ProcessClosedDoors
2BFA0 CalculateObjectLightingLara
2C0D0 UpdateSkyLightning
2C1DC CalcLaraMatrices
2C3C4 handle_cutseq_triggering
2CA68 do_new_cutscene_camera
2CED4 InitPackNodes
2D000 frigup_lara
2D110 init_cutseq_malloc
2D134 cutseq_malloc
2D180 finish_cutseq
2D204 CalculateObjectLightingLaraCutSeq
2D2A0 cutseq_givelara_pistols
2D2D8 cutseq_removelara_pistols
2D308 cutseq_givelara_hk
2D328 cutseq_removelara_hk
2D360 cutseq_shoot_pistols
2D3E4 trigger_weapon_dynamics
2D48C deal_with_pistols
2D69C cutseq_kill_item
2D738 cutseq_restore_item
2D7D0 Load_and_Init_Cutseq
2D944 init_cutseq_actors
2DB8C init_resident_cutseq
2DC14 DelsHandyTeleportLara
2DD00 handle_lara_chatting
2DDF0 handle_actor_chatting
2DF50 find_a_fucking_item
2DFA0 cranecut_init
2E020 cranecut_end
2E0B8 cranecut_control
2E26C richcut1_init
2E3A0 richcut1_end
2E3D8 richcut1_control
2E4C0 richcut2_init
2E4D8 richcut2_end
2E4EC richcut2_control
2E514 richcut3_init
2E54C richcut3_end
2E594 richcut3_control
2E5E4 special1_init
2E614 special1_control
2E644 special1_end
2E674 special2_init
2E6A4 special2_control
2E6D4 special2_end
2E704 special3_init
2E734 special3_control
2E764 special3_end
2E794 special4_init
2E7C4 special4_control
2E7F4 special4_end
2E824 stealth3_start
2E99C stealth3_end
2EB9C deal_with_actor_shooting
2EC80 GetActorJointAbsPosition
2EE84 TriggerActorBlood
2EED8 TriggerDelSmoke
2F0C0 joby2_init
2F114 joby2_control
2F2B8 joby2_end
2F2FC joby3_init
2F304 joby3_control
2F374 joby3_end
2F37C andy1_init
2F39C andy1_control
2F408 andy1_end
2F434 hamgate_init
2F4D0 hamgate_control
2F534 hamgate_end
2F57C do_hammer_meshswap
2F5B0 andy2_init
2F5D0 andy2_control
2F668 andy2_end
2F694 setup_preist_meshswap
2F6E4 DelTorchFlames
2F9E4 joby4_init
2FA0C joby4_control
2FB04 joby4_end
2FB50 andrea1_init
2FB58 andrea1_control
2FC94 andrea1_end
2FCC0 andrea2_init
2FCDC andrea2_control
2FFD4 andrea2_end
2FFF0 joby5_init
30034 joby5_control
30144 joby5_end
3018C andy3_init
301DC andy3_control
30208 andy3_end
3024C do_catapult_meshswap
30280 joby9_init
302A0 joby9_control
302F0 joby9_end
30318 joby10_init
30338 joby10_control
303AC joby10_end
303E0 richcut4_init
30478 richcut4_control
30560 richcut4_end
3059C andy4_init
305BC andy4_control
306B4 andy4_end
306F0 andy4b_init
30710 andy4b_control
307EC andy4b_end
3081C do_clanger_meshswap
30850 andrea3_init
30870 andrea3_control
30904 andrea3_end
30A1C andrea3b_init
30B08 andrea3b_control
30C54 andrea3b_end
30D84 andy5_init
30DA4 andy5_control
30F28 andy5_end
30F48 joby6_init
30FA0 joby6_control
30FEC joby6_end
31024 joby8_init
310E0 joby8_control
315A0 joby8_end
315D0 andy6_init
315F8 andy6_control
31690 andy6_end
31698 andypew_init
316B8 andypew_control
316C0 andypew_end
316F4 andy7_init
31704 andy7_control
31754 andy7_end
31784 cossack_init
3178C cossack_control
31998 cossack_end
319D0 TriggerDelBrownSmoke
31B7C andy9_init
31BA4 andy9_control
31C08 andy9_end
31C34 andy8_init
31C3C andy8_control
31CF8 andy8_end
31D24 do_chalk_meshswap
31D58 andy10_init
31E9C andy10_control
3202C andy10_end
320D0 joby7_init
3210C joby7_control
32328 joby7_end
323C0 andrea4_init
323C8 andrea4_control
32464 andrea4_end
32484 do_pierre_gun_meshswap
324D4 monk2_init
324E4 monk2_control
325F4 monk2_end
32608 swampy_init
326EC swampy_control
3271C swampy_end
327F8 CutLaraBubbles
32904 trigger_title_spotcam
32A80 ResetCutanimate
32B50 Cutanimate
32C20 andy11_init
32C70 andy11_control
32D6C andy11_end
32D8C DetatchSpark
32EAC TriggerSuperJetFlame
331B4 TriggerWaterfallMist
335B8 TriggerDartSmoke
3389C KillAllCurrentItems
338AC KillEverything
338B8 ControlSmokeEmitter
342D0 ControlEnemyMissile
34A8C SetFadeClip
34A9C UpdateFadeClip
34B14 SetScreenFadeOut
34B48 SetScreenFadeIn
34B78 Fade
34C94 ExplodingDeath2
3521C TriggerLightningGlow
3532C DrawLensFlares
35378 SetUpLensFlare
35894 DrawWeaponMissile
35934 ControlTeleporter
361D8 ControlElectricFence
36498 TriggerFenceSparks
3660C trig_actor_gunflash
366B0 GetFreeDebris
3675C TriggerDebris
36A3C ShatterObject
374B8 InitSpotCamSequences
37554 Spline
37648 InitialiseSpotCam
37ED0 CalculateSpotCams
39190 SoundEffects
39294 WaterFall
393CC void_effect
393D4 finish_level_effect
393F4 turn180_effect
39410 floor_shake_effect
39500 SoundFlipEffect
39534 RubbleFX
395E0 PoseidonSFX
39610 ActivateCamera
39624 ActivateKey
39638 SwapCrowbar
39694 ExplosionFX
396D0 LaraLocation
39710 LaraLocationPad
39738 ResetTest
39938 KillActiveBaddies
39A18 lara_hands_free
